,Attrition,BusinessTravel,DailyRate,Department,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
25,0,Travel_Rarely,1282,Research & Development,32,3,58,3,5,Manager,3,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8
26,1,Travel_Frequently,1125,Research & Development,33,2,72,1,1,Research Scientist,1,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7
27,0,Travel_Rarely,691,Sales,35,3,48,3,2,Sales Executive,2,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2
28,0,Travel_Rarely,477,Research & Development,36,1,42,2,3,Healthcare Representative,4,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17
29,0,Travel_Rarely,705,Sales,38,2,83,3,5,Manager,1,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1
30,0,Travel_Rarely,924,Research & Development,39,3,78,3,1,Laboratory Technician,4,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0
31,0,Travel_Rarely,1459,Research & Development,40,4,41,3,2,Healthcare Representative,4,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3
32,0,Travel_Rarely,125,Research & Development,41,4,83,2,1,Laboratory Technician,3,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8
33,1,Travel_Rarely,895,Sales,42,4,56,3,2,Sales Representative,4,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0
34,1,Travel_Rarely,813,Research & Development,45,2,61,3,1,Research Scientist,4,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0
35,0,Travel_Rarely,1273,Research & Development,46,4,72,4,1,Research Scientist,3,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4
36,1,Travel_Rarely,869,Sales,47,1,86,2,1,Sales Representative,3,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2
37,0,Travel_Rarely,890,Sales,49,4,97,3,1,Sales Representative,4,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2
38,0,Travel_Rarely,852,Research & Development,51,2,82,2,1,Research Scientist,1,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0
39,0,Travel_Frequently,1141,Sales,52,3,42,4,2,Sales Executive,1,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3
40,0,Travel_Rarely,464,Research & Development,53,3,75,3,1,Laboratory Technician,4,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0
41,0,Travel_Rarely,1240,Research & Development,54,4,33,3,1,Laboratory Technician,1,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0
42,1,Travel_Rarely,1357,Research & Development,55,1,48,1,1,Laboratory Technician,3,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1
43,0,Travel_Frequently,994,Sales,56,4,37,3,3,Sales Executive,3,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7
44,0,Travel_Frequently,721,Research & Development,57,3,58,3,2,Laboratory Technician,4,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7
45,1,Travel_Rarely,1360,Research & Development,58,2,49,3,5,Research Director,3,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8
46,0,Non-Travel,1065,Sales,60,2,72,3,2,Sales Executive,3,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7
47,0,Travel_Rarely,408,Research & Development,61,2,73,3,1,Research Scientist,2,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0
48,0,Travel_Frequently,1211,Sales,62,1,98,3,2,Sales Executive,4,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8
49,0,Travel_Rarely,1229,Research & Development,63,4,36,4,1,Laboratory Technician,4,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1
50,1,Travel_Rarely,626,Research & Development,64,1,98,2,3,Laboratory Technician,3,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0
51,1,Travel_Rarely,1434,Research & Development,65,3,50,3,1,Laboratory Technician,3,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2
52,0,Travel_Rarely,1488,Sales,68,2,75,3,2,Sales Executive,1,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3
53,0,Non-Travel,1097,Research & Development,70,3,79,2,3,Healthcare Representative,1,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3
54,0,Travel_Rarely,1443,Sales,72,3,47,2,2,Sales Executive,4,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0
55,0,Travel_Frequently,515,Research & Development,73,1,98,3,3,Research Director,4,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12
56,0,Travel_Frequently,853,Sales,74,2,71,3,3,Sales Executive,1,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8
57,0,Travel_Rarely,1142,Research & Development,75,3,30,3,1,Laboratory Technician,1,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2
58,0,Travel_Rarely,655,Research & Development,76,4,48,3,2,Laboratory Technician,4,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7
59,0,Travel_Rarely,1115,Research & Development,77,1,51,2,2,Manufacturing Director,3,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7
60,0,Travel_Rarely,427,Research & Development,78,1,33,3,2,Manufacturing Director,4,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8
61,0,Travel_Frequently,653,Research & Development,79,4,50,3,2,Laboratory Technician,4,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9
62,0,Travel_Rarely,989,Research & Development,80,2,43,2,5,Research Director,3,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8
63,0,Travel_Rarely,1435,Sales,81,1,99,3,3,Sales Executive,1,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9
64,0,Travel_Rarely,1223,Research & Development,83,3,59,3,3,Healthcare Representative,3,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8
65,0,Travel_Rarely,836,Research & Development,84,4,33,3,4,Manager,3,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2
66,0,Travel_Frequently,1195,Research & Development,85,2,95,2,2,Manufacturing Director,2,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3
67,0,Travel_Rarely,1339,Research & Development,86,2,59,3,3,Research Scientist,1,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0
68,0,Travel_Frequently,664,Research & Development,88,2,79,3,1,Research Scientist,1,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2
69,1,Travel_Rarely,318,Research & Development,90,4,79,2,1,Research Scientist,3,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0
70,0,Travel_Frequently,1225,Sales,91,1,57,2,2,Sales Executive,3,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3
71,0,Travel_Rarely,1328,Research & Development,94,3,76,3,1,Research Scientist,2,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4
72,0,Travel_Rarely,1082,Research & Development,95,3,87,3,1,Research Scientist,2,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0
73,0,Travel_Rarely,548,Research & Development,96,2,66,3,2,Research Scientist,2,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9
74,0,Travel_Rarely,132,Research & Development,97,2,55,4,1,Laboratory Technician,4,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0
75,0,Travel_Rarely,746,Research & Development,98,3,61,3,2,Manufacturing Director,4,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8
76,0,Travel_Rarely,776,Sales,100,3,32,2,2,Sales Executive,1,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8
77,0,Travel_Rarely,193,Research & Development,101,4,52,3,3,Research Director,1,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0
78,0,Travel_Rarely,397,Research & Development,102,1,30,3,3,Research Director,3,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2
79,0,Travel_Rarely,945,Human Resources,103,2,80,3,2,Human Resources,2,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2
80,0,Travel_Rarely,852,Research & Development,104,4,55,2,2,Laboratory Technician,4,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0
81,0,Travel_Rarely,1214,Research & Development,105,2,30,2,1,Research Scientist,3,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4
82,0,Travel_Rarely,111,Sales,106,1,70,3,3,Sales Executive,4,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0
83,0,Non-Travel,573,Research & Development,107,2,79,1,2,Research Scientist,4,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9
84,0,Travel_Rarely,1153,Research & Development,110,1,94,3,2,Manufacturing Director,2,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3
85,0,Travel_Rarely,1400,Research & Development,112,4,49,1,3,Manufacturing Director,4,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2
86,0,Travel_Rarely,541,Sales,113,3,62,3,1,Sales Representative,1,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0
87,0,Travel_Rarely,432,Research & Development,116,4,96,3,1,Laboratory Technician,4,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3
88,0,Travel_Rarely,288,Research & Development,117,3,99,2,2,Healthcare Representative,4,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8
89,1,Travel_Rarely,669,Sales,118,3,64,2,3,Sales Executive,4,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7
90,0,Travel_Frequently,530,Research & Development,119,3,78,2,4,Healthcare Representative,2,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11
91,0,Travel_Rarely,632,Sales,120,3,71,3,2,Sales Executive,4,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0
92,0,Travel_Rarely,1334,Sales,121,3,63,2,2,Sales Executive,2,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7
93,0,Travel_Frequently,638,Research & Development,124,3,40,2,3,Healthcare Representative,1,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5
94,0,Travel_Rarely,1093,Sales,125,2,87,3,2,Sales Executive,3,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7
95,0,Travel_Rarely,1217,Research & Development,126,1,60,3,3,Research Director,3,13549,24001,9,No,12,3,1,1,16,5,1,4,3,0,3
96,0,Travel_Rarely,1353,Sales,128,1,33,3,2,Sales Executive,3,4999,17519,0,No,21,4,1,1,4,2,2,3,2,0,2
97,0,Non-Travel,120,Sales,129,2,43,3,2,Sales Executive,3,4221,8863,1,No,15,3,2,0,5,3,4,5,4,0,4
98,0,Travel_Rarely,682,Sales,131,4,37,3,4,Sales Executive,3,13872,24409,0,No,13,3,3,0,38,1,2,37,10,1,8
99,0,Non-Travel,489,Research & Development,132,2,67,3,2,Laboratory Technician,2,2042,25043,4,No,12,3,3,1,17,3,4,3,2,1,2
100,1,Travel_Rarely,807,Human Resources,133,3,63,3,1,Human Resources,1,2073,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2
101,0,Travel_Rarely,827,Research & Development,134,4,71,3,1,Research Scientist,1,2956,15178,1,No,13,3,4,0,1,2,3,1,0,0,0
102,1,Travel_Frequently,871,Research & Development,137,4,66,2,1,Laboratory Technician,4,2926,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0
103,0,Travel_Rarely,665,Research & Development,138,1,41,3,2,Research Scientist,3,4809,12482,1,No,14,3,3,0,16,3,3,16,13,2,10
104,0,Non-Travel,1040,Research & Development,139,3,100,2,2,Healthcare Representative,4,5163,15850,5,No,14,3,4,1,17,2,4,1,0,0,0
105,0,Non-Travel,1420,Human Resources,140,3,32,2,5,Manager,4,18844,21922,9,No,21,4,4,1,30,3,3,3,2,2,2
106,0,Travel_Frequently,1115,Research & Development,141,1,73,3,5,Research Director,2,18172,9755,3,Yes,19,3,1,0,28,1,2,8,3,0,7
107,1,Travel_Rarely,240,Sales,142,3,46,2,2,Sales Executive,3,5744,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3
108,0,Travel_Rarely,1280,Research & Development,143,4,64,2,1,Research Scientist,4,2889,26897,1,No,11,3,3,2,2,2,3,2,2,2,1
109,0,Travel_Rarely,534,Research & Development,144,2,59,3,1,Laboratory Technician,4,2871,23785,1,No,15,3,3,0,1,5,3,0,0,0,0
110,0,Travel_Frequently,1456,Research & Development,145,1,30,2,3,Healthcare Representative,1,7484,25796,3,No,20,4,3,0,23,1,2,13,12,12,8
111,1,Travel_Frequently,658,Research & Development,147,1,66,1,2,Laboratory Technician,3,6074,22887,1,Yes,24,4,4,0,9,3,3,9,7,0,6
112,0,Non-Travel,142,Human Resources,148,4,30,4,4,Manager,4,17328,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4
113,0,Travel_Rarely,1127,Research & Development,150,2,52,3,1,Laboratory Technician,3,2774,13257,0,No,12,3,3,1,6,2,3,5,3,1,2
114,0,Travel_Rarely,1031,Research & Development,151,3,45,2,2,Research Scientist,2,4505,15000,6,No,15,3,3,1,12,3,3,1,0,0,0
115,0,Travel_Rarely,1189,Sales,152,3,87,3,3,Sales Executive,4,7428,14506,2,No,12,3,1,0,12,3,3,5,3,1,3
116,0,Travel_Rarely,1354,Research & Development,153,3,45,2,3,Manager,1,11631,5615,2,No,12,3,4,0,14,6,3,11,10,5,8
117,0,Travel_Frequently,1467,Sales,154,2,92,3,3,Sales Executive,4,9738,22952,0,No,14,3,3,1,10,6,3,9,7,2,8
118,0,Travel_Rarely,922,Research & Development,155,1,39,3,1,Laboratory Technician,4,2835,2561,5,No,22,4,1,1,7,2,3,1,0,0,0
119,0,Travel_Frequently,394,Sales,158,3,92,3,4,Manager,4,16959,19494,1,Yes,12,3,4,2,25,3,4,25,12,4,12
120,0,Travel_Frequently,1312,Research & Development,159,1,96,1,1,Research Scientist,3,2613,22310,1,No,25,4,3,3,10,2,2,10,7,0,9
121,0,Non-Travel,750,Sales,160,3,95,3,2,Sales Executive,2,6146,15480,0,No,13,3,1,1,8,2,4,7,7,0,7
122,1,Travel_Rarely,441,Research & Development,161,2,72,3,1,Research Scientist,2,4963,4510,9,Yes,18,3,1,3,7,2,3,5,4,4,3
123,0,Travel_Rarely,684,Research & Development,162,1,51,3,5,Research Director,3,19537,6462,7,No,13,3,3,0,23,5,3,20,18,15,15
124,1,Travel_Rarely,249,Sales,163,2,76,1,2,Sales Executive,3,6172,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7
125,0,Travel_Rarely,841,Research & Development,164,3,46,2,1,Research Scientist,2,2368,23300,1,No,19,3,3,0,5,3,2,5,4,4,3
126,1,Travel_Rarely,147,Research & Development,165,4,94,3,3,Healthcare Representative,4,10312,3465,1,No,12,3,4,1,40,3,2,40,10,15,6
127,1,Travel_Rarely,528,Sales,167,4,50,3,1,Sales Representative,3,1675,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0
128,0,Travel_Rarely,594,Research & Development,169,3,100,3,1,Laboratory Technician,4,2523,19299,0,No,14,3,3,1,3,2,3,2,1,2,1
129,0,Travel_Rarely,470,Research & Development,170,3,96,3,2,Manufacturing Director,1,6567,5549,1,No,14,3,3,0,16,2,2,15,11,5,11
130,0,Travel_Frequently,957,Research & Development,171,2,72,4,1,Research Scientist,3,4739,16090,4,No,12,3,4,0,18,2,3,3,2,1,2
131,0,Travel_Frequently,809,Sales,174,3,77,3,3,Sales Executive,4,9208,6645,4,No,11,3,4,0,16,3,3,2,2,2,1
132,1,Travel_Rarely,542,Sales,175,2,71,1,2,Sales Executive,3,4559,24788,3,Yes,11,3,3,1,4,2,3,2,2,2,2
133,0,Travel_Rarely,802,Sales,176,3,96,3,3,Sales Executive,3,8189,21196,3,Yes,13,3,3,1,12,2,3,9,7,0,7
134,0,Travel_Rarely,1355,Human Resources,177,3,61,3,1,Human Resources,3,2942,8916,1,No,23,4,4,1,8,3,3,8,7,5,7
135,0,Travel_Rarely,216,Research & Development,178,2,84,3,2,Manufacturing Director,2,4941,2819,6,No,20,4,4,2,7,0,3,3,2,0,1
136,1,Travel_Frequently,1150,Research & Development,179,1,53,1,3,Manufacturing Director,4,10650,25150,2,No,15,3,4,0,18,2,3,4,2,0,3
137,0,Travel_Rarely,1329,Sales,182,4,47,2,2,Sales Executive,3,5902,14590,4,No,14,3,3,1,17,1,4,15,11,5,9
138,0,Travel_Rarely,959,Sales,183,1,41,2,2,Sales Executive,3,8639,24835,2,No,18,3,4,0,6,3,3,2,2,2,2
139,0,Travel_Rarely,1240,Human Resources,184,3,48,3,2,Human Resources,4,6347,13982,0,Yes,19,3,4,0,12,2,1,11,9,4,7
140,1,Travel_Rarely,1033,Research & Development,190,1,41,3,1,Laboratory Technician,1,4200,10224,7,No,22,4,1,0,10,2,4,5,4,0,4
141,0,Travel_Rarely,1316,Research & Development,192,3,83,3,1,Research Scientist,4,3452,9752,5,No,13,3,2,0,9,2,2,6,5,0,3
142,0,Travel_Rarely,364,Research & Development,193,4,32,3,2,Research Scientist,3,4317,2302,3,Yes,20,4,2,0,19,2,3,3,2,2,2
143,0,Travel_Rarely,438,Research & Development,194,1,75,3,1,Research Scientist,3,2632,23910,1,No,14,3,3,0,5,4,2,5,4,0,4
144,0,Travel_Frequently,689,Sales,195,4,35,1,2,Sales Executive,4,4668,22812,0,No,17,3,4,3,9,2,4,8,7,0,7
145,0,Travel_Rarely,201,Research & Development,197,4,84,3,1,Research Scientist,1,3204,10415,5,No,14,3,4,1,8,3,3,3,2,2,2
146,0,Travel_Rarely,1427,Research & Development,198,2,35,2,1,Laboratory Technician,4,2720,11162,0,No,13,3,4,0,6,3,3,5,3,1,2
147,0,Travel_Frequently,857,Research & Development,199,4,91,2,4,Manager,1,17181,12888,4,No,13,3,2,1,21,2,2,7,6,7,7
148,0,Travel_Rarely,933,Research & Development,200,3,94,3,1,Laboratory Technician,1,2238,6961,2,No,21,4,4,1,7,2,3,5,0,1,4
149,0,Travel_Rarely,1181,Research & Development,201,2,79,3,1,Laboratory Technician,2,1483,16102,1,No,14,3,4,0,1,3,3,1,0,0,0
150,0,Travel_Frequently,1395,Research & Development,202,2,54,3,2,Research Scientist,2,5605,8504,1,No,11,3,1,1,20,2,3,20,7,2,13
151,0,Travel_Rarely,662,Sales,204,3,94,3,3,Sales Executive,2,7295,11439,1,No,13,3,1,2,10,3,3,10,8,0,6
152,0,Travel_Rarely,1436,Sales,205,2,34,3,2,Sales Representative,3,2306,16047,2,Yes,20,4,4,1,13,3,1,7,7,4,5
153,0,Travel_Rarely,194,Research & Development,206,2,60,3,2,Laboratory Technician,2,2348,10901,8,No,18,3,3,1,20,2,1,17,9,0,15
154,0,Travel_Frequently,967,Sales,207,2,43,3,3,Sales Executive,4,8998,15589,1,No,14,3,4,0,9,2,3,9,8,3,7
155,0,Non-Travel,1496,Research & Development,208,4,41,3,2,Manufacturing Director,3,4319,26283,1,No,13,3,1,1,10,1,3,10,7,0,9
156,0,Travel_Rarely,1169,Research & Development,211,2,34,2,2,Manufacturing Director,3,6132,13983,2,No,17,3,3,0,10,2,3,1,0,0,0
157,0,Travel_Rarely,1145,Research & Development,214,2,75,2,1,Research Scientist,2,3346,11873,4,Yes,20,4,2,1,9,3,2,1,0,0,0
158,0,Travel_Rarely,630,Sales,215,3,67,2,3,Sales Executive,4,10855,8552,7,No,11,3,1,1,15,2,2,12,11,2,11
159,0,Travel_Frequently,303,Sales,216,3,75,3,1,Sales Representative,3,2231,11314,6,No,18,3,4,1,6,3,3,4,3,1,2
160,0,Travel_Rarely,1256,Research & Development,217,3,80,3,1,Research Scientist,4,2323,11992,1,No,24,4,1,2,2,6,3,2,2,2,2
161,0,Non-Travel,691,Research & Development,218,4,57,3,1,Research Scientist,2,2024,5970,6,No,18,3,4,1,6,1,1,2,2,2,2
162,0,Travel_Rarely,440,Research & Development,221,3,42,3,1,Research Scientist,4,2713,6672,1,No,11,3,3,1,5,2,1,5,2,0,2
163,0,Travel_Rarely,334,Research & Development,223,3,83,4,3,Healthcare Representative,4,9439,23402,3,Yes,16,3,2,1,12,2,1,5,3,1,4
164,0,Non-Travel,1450,Research & Development,224,3,79,2,1,Research Scientist,3,2566,25326,1,Yes,15,3,4,1,1,2,2,1,1,0,1
165,0,Travel_Rarely,1452,Research & Development,226,3,53,3,5,Manager,2,19926,17053,3,No,15,3,2,0,21,5,3,5,4,4,4
166,0,Travel_Rarely,465,Research & Development,227,1,56,3,1,Research Scientist,3,2451,4609,4,No,12,3,1,1,13,2,3,9,8,1,8
167,0,Travel_Rarely,1339,Sales,228,2,41,3,3,Sales Executive,4,9419,8053,2,No,12,3,3,1,12,2,3,10,9,7,4
168,0,Travel_Rarely,702,Sales,230,1,59,2,2,Sales Executive,4,8686,12930,4,No,22,4,3,0,12,2,4,8,3,0,7
169,0,Travel_Rarely,120,Research & Development,231,3,43,3,1,Research Scientist,3,3038,12430,3,No,20,4,1,0,8,2,3,5,4,1,4
170,0,Travel_Rarely,1157,Research & Development,233,3,51,3,1,Research Scientist,2,3058,13364,0,Yes,16,3,4,1,6,3,2,5,2,1,1
171,1,Travel_Frequently,602,Sales,235,3,100,1,1,Sales Representative,1,2325,20989,0,No,21,4,1,0,1,5,4,0,0,0,0
172,0,Travel_Frequently,1480,Research & Development,238,4,30,3,1,Laboratory Technician,2,2088,15062,4,No,12,3,3,0,13,3,2,8,7,7,2
173,0,Non-Travel,111,Research & Development,239,3,66,3,2,Laboratory Technician,1,3072,11012,1,No,11,3,3,2,12,4,3,12,9,6,10
174,0,Travel_Rarely,1268,Sales,240,3,30,3,2,Sales Executive,1,5006,6319,4,Yes,11,3,1,1,9,3,4,5,4,0,3
175,0,Travel_Rarely,713,Research & Development,241,3,67,3,1,Research Scientist,1,4257,13939,4,Yes,18,3,3,1,19,3,3,2,2,2,2
176,0,Travel_Rarely,134,Research & Development,242,3,90,3,1,Research Scientist,4,2500,10515,0,No,14,3,1,0,4,2,4,3,1,0,2
177,1,Travel_Rarely,303,Research & Development,243,2,47,2,1,Laboratory Technician,4,1102,9241,1,No,22,4,3,0,1,3,2,1,0,1,0
178,0,Travel_Rarely,526,Sales,244,2,92,3,3,Sales Executive,1,10453,2137,1,No,25,4,3,3,24,2,3,24,13,15,7
179,0,Travel_Rarely,1380,Research & Development,245,3,75,3,1,Laboratory Technician,4,2288,6319,1,No,12,3,3,0,2,3,3,2,2,2,1
180,0,Travel_Rarely,140,Research & Development,246,3,95,3,1,Research Scientist,4,3929,6984,8,Yes,23,4,3,1,7,0,3,4,2,0,2
181,0,Travel_Rarely,629,Research & Development,247,4,95,3,1,Research Scientist,2,2311,5711,2,No,15,3,4,0,9,3,3,3,2,1,2
182,1,Travel_Rarely,1356,Sales,248,2,70,3,1,Sales Representative,2,3140,21728,1,Yes,22,4,4,0,4,5,2,4,3,0,2
183,0,Travel_Rarely,328,Research & Development,249,3,86,2,1,Laboratory Technician,3,3690,3425,2,No,15,3,4,1,5,2,2,3,2,0,2
184,0,Travel_Rarely,1084,Research & Development,250,4,57,4,2,Manufacturing Director,1,4450,26250,1,No,11,3,3,2,5,3,3,4,2,1,3
185,0,Travel_Rarely,931,Research & Development,252,4,72,3,1,Research Scientist,2,2756,4673,1,No,13,3,4,1,8,5,3,8,7,1,6
